title,main_goal_and_aims,Questions,Purpose,Approaches,Findings,Categories,DataTier,Team,combined_text,id,topic
HCM,"Hypertrophic cardiomyopathy (HCM) is a complex cardiovascular disorder characterized by abnormal thickening of the heart muscle, leading to impaired cardiac function and an increased risk of heart failure, arrhythmias, and sudden cardiac death. Despite extensive research, the underlying genetic and…","Scientific Questions Being Studied
Hypertrophic cardiomyopathy (HCM) is a complex cardiovascular disorder characterized by abnormal thickening of the heart muscle, leading to impaired cardiac function and an increased risk of heart failure, arrhythmias, and sudden cardiac death. Despite extensive research, the underlying genetic and molecular mechanisms contributing to HCM remain incompletely understood. Integrating genomic and Magnetic Resonance Imaging (MRI) data can provide valuable insights into the pathophysiology of HCM, aiding in the development of more accurate diagnostic tools and targeted therapeutic strategies. This research proposal aims to investigate the genetic architecture and cardiac phenotype of HCM through an integrative analysis of genomic and MRI data.","Project Purpose(s)
Disease Focused Research (hypertrophic cardiomyopathy)
Methods Development
Ancestry","Scientific Approaches
We will create a cohort with both genomic data and cardiac MRI scans for the All of Us research program. Integrative analysis will be performed to explore the relationship between identified genetic variants and specific cardiac phenotypes obtained from MRI data. We will ascertain HCM status using ICD-10 codes and predict the HCM status using the genetic and MRI data. We will comply with ethical guidelines and regulations governing human subject research.","Anticipated Findings
We will provide insight into the genotype-phenotype correlations, elucidating the specific cardiac phenotypes influenced by identified genetic variants. We will also develop a predictive model integrating genomic and MRI data for improved risk assessment and personalized treatment strategies in HCM patients. This research proposal aims to contribute to the existing knowledge of HCM by integrating genomic and MRI data. The findings will enhance our understanding of the genetic architecture and cardiac phenotypes associated with HCM, enabling the development of more precise diagnostic tools and targeted therapeutic interventions. Ultimately, this research has the potential to improve patient outcomes and guide the implementation of precision medicine approaches in the management of HCM.","Demographic Categories of Interest
This study will not center on underrepresented populations.","Data Set Used
Controlled Tier","Research Team
Owner:
Xiao Fan
- Research Fellow, Columbia University","HCM Hypertrophic cardiomyopathy (HCM) is a complex cardiovascular disorder characterized by abnormal thickening of the heart muscle, leading to impaired cardiac function and an increased risk of heart failure, arrhythmias, and sudden cardiac death. Despite extensive research, the underlying genetic and…",card-238,cardiovascular
TL_lr,"The ends of genome are protected by specific repeat sequence. The length of that repeat is a highly heritable trait that associates with a lot of diseases and conditions, including cardiovascular disease. We sought to identify the genetic predisposition to…","Scientific Questions Being Studied
The ends of genome are protected by specific repeat sequence. The length of that repeat is a highly heritable trait that associates with a lot of diseases and conditions, including cardiovascular disease. We sought to identify the genetic predisposition to the length of the repeat at the end of human genome.","Project Purpose(s)
Disease Focused Research (arteriosclerotic cardiovascular disease)","Scientific Approaches
We'll try to measure the length of the repeat using the whole-genome sequencing data. We will assess the association between the repeat length and genomic variants to identify the genetic predisposition.","Anticipated Findings
We'll identify the genomic and genetic variants to expand the knowledge of the mechanisms that governs the repeat length, which may lead to develop better strategy for diseases.","Demographic Categories of Interest
This study will not center on underrepresented populations.","Data Set Used
Controlled Tier","Research Team
Owner:
TETSUSHI NAKAO
- Research Fellow, Broad Institute","TL_lr The ends of genome are protected by specific repeat sequence. The length of that repeat is a highly heritable trait that associates with a lot of diseases and conditions, including cardiovascular disease. We sought to identify the genetic predisposition to…",card-239,cardiovascular
Role of Over-Expressed Immune Signature,African Americans experience higher rates of certain types of cancer and often have poorer outcomes compared to other racial and ethnic groups. The relationship between an overexpressed immune signature and cancer comorbidity in African Americans is not fully understood. Multiple…,"Scientific Questions Being Studied
African Americans experience higher rates of certain types of cancer and often have poorer outcomes compared to other racial and ethnic groups. The relationship between an overexpressed immune signature and cancer comorbidity in African Americans is not fully understood. Multiple factors contribute to the disparities observed in cancer outcomes among different racial and ethnic groups, including socioeconomic factors, access to healthcare, cultural beliefs, and genetic variations. The presence of multiple medical conditions in an individual includes chronic diseases such as diabetes, cardiovascular disease, or respiratory conditions, which may impact cancer treatment and overall health outcomes by making an overreactive immune system. An overreactive immune system leads to chronic inflammation followed by the development of certain cancer types and poor disease outcomes. We will investigate the role of Over-Expressed Immune Signature in Co-morbidity in African Americans with Cancer","Project Purpose(s)
Disease Focused Research (cancer)
Social / Behavioral
Ancestry","Scientific Approaches
We will analyze dataset containing immune signature and co-morbidity status of cancer patient by R programming.","Anticipated Findings
We are hypothesizing that overreactive immune system leads to chronic inflammation followed by the development of certain cancer types and poor disease outcomes.","Demographic Categories of Interest
Race / Ethnicity","Data Set Used
Controlled Tier","Research Team
Owner:
Shahjalal Chowdhury
- Graduate Trainee, Tuskegee University",Role of Over-Expressed Immune Signature African Americans experience higher rates of certain types of cancer and often have poorer outcomes compared to other racial and ethnic groups. The relationship between an overexpressed immune signature and cancer comorbidity in African Americans is not fully understood. Multiple…,card-240,cardiovascular
CVD Risk + PCOS,"Polycystic ovary syndrome (PCOS) is a condition that affects women, or people with ovaries, worldwide. Because non-female identifying people with ovaries are a population of interest in this study, the proposed study will not exclude those who identify as another…","Scientific Questions Being Studied
Polycystic ovary syndrome (PCOS) is a condition that affects women, or people with ovaries, worldwide. Because non-female identifying people with ovaries are a population of interest in this study, the proposed study will not exclude those who identify as another gender but were assigned the female sex at birth. People diagnosed with PCOS, typically via sonogram or ultrasound, also present with numerous other health issues. Being diagnosed with PCOS is also linked to reproductive irregularity, insulin resistance, coronary heart disease, and many more. These different aspects of health are issues known for being further affected by minority identities such as non-white Race and sexual/gender minorities. Not having enough power, or a large sample size, may be adversely affecting the associations among people with PCOS and cardiovascular disease (CVD) risk. Although, there seems to be inconsistency among studies finding statistically significant relationships between CVD risk and PCOS.","Project Purpose(s)
Population Health","Scientific Approaches
The overall study design will consist of a cross-sectional case control where age, sex, and race will be matched between cases and controls.  The main outcome variable is CVD risk, which will be measured as a score of 3 levels: ideal, average, and poor. This score is taken from the American Heart Association’s guidelines on assessing and preventing cardiovascular disease. This is known as the Life’s Simple 7 score and is compiled through covariates of heart disease like smoking status, BMI, exercise, cholesterol, blood pressure, glucose, and diet. In addition to those covariates, demographic information, which is also collected by All of Us, will be included in the analysis. There will be an attempt to keep many diverse racial and gender/sexual minorities (assuming sample sizes are adequate). Statistical analysis plans will consist of logistic regression on a three-level factored outcome variable (Simple 7 score).","Anticipated Findings
The researcher anticipates interpretable findings from this study. Because the research question is presented as an investigation of a relationship, there is no anticipation of whether the CVD risk among PCOS populations will sway one way or the other. Previous literature and research has shown that there may be an increased risk of CVD among these populations, which may be exacerbated by the presence of other determinants of health like race, assigned sex at birth, and many more. Overall, the purpose of the study is to add validated and sound research to the body of literature with All of Us data, specifically.","Demographic Categories of Interest
Race / Ethnicity
Age
Sex at Birth
Gender Identity
Sexual Orientation
Income Level","Data Set Used
Controlled Tier","Research Team
Owner:
Antoneta Karaj
- Graduate Trainee, New York University
Collaborators:
Hsing-Chun Wang - Graduate Trainee, New York University","CVD Risk + PCOS Polycystic ovary syndrome (PCOS) is a condition that affects women, or people with ovaries, worldwide. Because non-female identifying people with ovaries are a population of interest in this study, the proposed study will not exclude those who identify as another…",card-241,cardiovascular
ME_Lipid,Lipid metabolism is the leading cause of cardiovascular diseases. We sought to identify lipid modifying genomic variation which is under-explored so far.,"Scientific Questions Being Studied
Lipid metabolism is the leading cause of cardiovascular diseases. We sought to identify lipid modifying genomic variation which is under-explored so far.","Project Purpose(s)
Disease Focused Research (arteriosclerotic cardiovascular disease)","Scientific Approaches
We will leverage whole genome sequencing data to identify lipid related genomic variation and see association with cardiovascular disease and lipid measurement.","Anticipated Findings
If we find significant association between genomic variation and disease/lipid, we'll better identify the population at risk for cardiovascular disease, which will lead to better population health.","Demographic Categories of Interest
This study will not center on underrepresented populations.","Data Set Used
Controlled Tier","Research Team
Owner:
TETSUSHI NAKAO
- Research Fellow, Broad Institute",ME_Lipid Lipid metabolism is the leading cause of cardiovascular diseases. We sought to identify lipid modifying genomic variation which is under-explored so far.,card-242,cardiovascular
Obesity Risk Factors,"We will investigate obesity risk factors stratified by race, gender, ethnicity, age groups as they are related to cardiovascular disease and metabolic disease","Scientific Questions Being Studied
We will investigate obesity risk factors stratified by race, gender, ethnicity, age groups as they are related to cardiovascular disease and metabolic disease","Project Purpose(s)
Disease Focused Research (Obesity and cardiovascular and metabolic risk factors)","Scientific Approaches
We will use descriptive statistics approaches to look at means, distribution, statistical  tests such as chi square, linear regression and  logistic regression. We will use data on BMI using the physical measurement data and data on social determinants of health.","Anticipated Findings
We are trying to elucidate why some individuals have obesity and better understand causes of obesity including how  these factors differ across different groups.","Demographic Categories of Interest
Race / Ethnicity
Age
Sex at Birth
Gender Identity
Sexual Orientation
Geography
Access to Care
Education Level
Income Level","Data Set Used
Registered Tier","Research Team
Owner:
Jennifer Kraszewski
- Graduate Trainee, University of Arizona
Collaborators:
Yann Klimentidis - Mid-career Tenured Researcher, University of Arizona
Tomas Nuño - Other, University of Arizona
Elissa Ornelas - Undergraduate Student, University of Arizona
Ashley  Maxwell - Undergraduate Student, University of Arizona","Obesity Risk Factors We will investigate obesity risk factors stratified by race, gender, ethnicity, age groups as they are related to cardiovascular disease and metabolic disease",card-243,cardiovascular
Shahjalal Chowdhury,African Americans experience higher rates of certain types of cancer and often have poorer outcomes compared to other racial and ethnic groups. The relationship between an overexpressed immune signature and cancer comorbidity in African Americans is not fully understood. Multiple…,"Scientific Questions Being Studied
African Americans experience higher rates of certain types of cancer and often have poorer outcomes compared to other racial and ethnic groups.
The relationship between an overexpressed immune signature and cancer comorbidity in African Americans is not fully understood. Multiple factors contribute to the disparities observed in cancer outcomes among different racial and ethnic groups, including socioeconomic factors, access to healthcare, cultural beliefs, and genetic variations.
The presence of multiple medical conditions in an individual includes chronic diseases such as diabetes, cardiovascular disease, or respiratory conditions, which may impact cancer treatment and overall health outcomes by making an overreactive immune system. An overreactive immune system leads to chronic inflammation followed by the development of certain cancer types and poor disease outcomes.
We will investigate the role of Over-Expressed Immune Signature in Co-morbidity in African Americans with Cancer","Project Purpose(s)
Disease Focused Research (cancer)","Scientific Approaches
We will analyze dataset containing immune signature and co-morbidity status of cancer patient  by R programming.","Anticipated Findings
We are hypothesizing that  overreactive immune system leads to chronic inflammation followed by the development of certain cancer types and poor disease outcomes.","Demographic Categories of Interest
Race / Ethnicity","Data Set Used
Registered Tier","Research Team
Owner:
Shahjalal Chowdhury
- Graduate Trainee, Tuskegee University",Shahjalal Chowdhury African Americans experience higher rates of certain types of cancer and often have poorer outcomes compared to other racial and ethnic groups. The relationship between an overexpressed immune signature and cancer comorbidity in African Americans is not fully understood. Multiple…,card-244,cardiovascular
Mechanistic determinants of endometriosis and cardiovascular disease,"The factors that lead to this increased risk are not fully understood. This proposal aims to identify mechanistic determinants that contribute to endometriosis and cardiovascular disease (CVD), including inflammation, oxidative stress, and susceptibility variants.","Scientific Questions Being Studied
The factors that lead to this increased risk are not fully understood. This proposal aims to identify mechanistic determinants that contribute to endometriosis and cardiovascular disease (CVD), including inflammation, oxidative stress, and susceptibility variants.","Project Purpose(s)
Disease Focused Research (endometriosis)
Ancestry","Scientific Approaches
The overall objective is to identify mechanistic determinants with EM/CVD by leveraging on: (a) whole genome sequencing (WGS), (b) local and global ancestry analysis, (c) genome-wide association study (GWAS), (d)  RNAseq searching for pathways in common between endometriosis and hypertensive or CVD?","Anticipated Findings
Identify Endometriosis- and CVD-associated variants contributes to a better understanding of the genetic architecture of endometriosis and may facilitate personalized treatments earlier in life. We propose:","Demographic Categories of Interest
Race / Ethnicity
Age
Sex at Birth","Data Set Used
Controlled Tier","Research Team
Owner:
Vinicius Borges
- Other, Marshall University","Mechanistic determinants of endometriosis and cardiovascular disease The factors that lead to this increased risk are not fully understood. This proposal aims to identify mechanistic determinants that contribute to endometriosis and cardiovascular disease (CVD), including inflammation, oxidative stress, and susceptibility variants.",card-245,cardiovascular
All of Us Champion Project,Research Question What is the incidence of heart failure or adverse cardiac events in Black/ African American women who are long-term (5 years or more) survivors of breast cancer? Why is this question important? African American (AA) breast cancer survivors…,"Scientific Questions Being Studied
Research Question
What is the incidence of heart failure or adverse cardiac events in Black/ African American women who are long-term (5 years or more) survivors of breast cancer?
Why is this question important?
African American (AA) breast cancer survivors may have elevated risk for cardiovascular disease because of the high prevalence of obesity, hypertension, and type 2 diabetes mellitus in this population.
Primary Objective
The primary objective is to quantify both cardiovascular risk and adverse cardiac events in long-term (five years or greater) breast cancer survivors, and determine how cardiovascular risk prior to diagnosis, during treatment, and after completion of treatment affects health outcomes.","Project Purpose(s)
Population Health
Other Purpose (Institutional Champion Research Project)","Scientific Approaches
We plan on using the EHR dataset particularly focused on breast cancer, diabetes, and obesity
Using short read WGS dataset
Lab and measurements to quantify cardiovascular risk
Physical measurements
SDOH, Lifestyle, Healthcare access and utilization, Overall health, Basic demographics surveys","Anticipated Findings
We expect to find that there will be an elevated cardiovascular disease/ adverse event risk for Black / African American who received cardiotoxic treatment for breast cancer.
We also expect to find that selected SDOH will predict outcomes.","Demographic Categories of Interest
Race / Ethnicity
Age
Geography
Access to Care
Education Level
Income Level","Data Set Used
Controlled Tier","Research Team
Owner:
Valerie Ray
- Graduate Trainee, North Carolina A&T State University",All of Us Champion Project Research Question What is the incidence of heart failure or adverse cardiac events in Black/ African American women who are long-term (5 years or more) survivors of breast cancer? Why is this question important? African American (AA) breast cancer survivors…,card-246,cardiovascular
Monitoring heart and sleep data using Wearable devices,"Williams-Beuren syndrome (WBS) is a rare multi-system disease which arises from a chromosomal microdeletion of 7q11.23, comprising 25 to 27 genes, including the elastin gene. The defects in the elastin gene, leading to elastin haploinsufficiency, underlie the arteriopathy in WBS,…","Scientific Questions Being Studied
Williams-Beuren syndrome (WBS) is a rare multi-system disease which arises from a chromosomal microdeletion of 7q11.23, comprising 25 to 27 genes, including the elastin gene. The defects in the elastin gene, leading to elastin haploinsufficiency, underlie the arteriopathy in WBS, although alternate genes are known to modulate cardiovascular phenotypes. Cardiovascular problems are the main cause of morbidity and mortality and occur in 80-85% of all WS patients. Great vessel diseases are the most common cardiovascular abnormalities in WBS, however any artery can potentially be involved due to elastin haploinsufficiency.  Sudden cardiac death is also a prominent feature that is the leading cause of death among WBS patients. Recent studies pointed out the autonomic and heart rate dysregulations in WBS. Based on this, we would like to investigate the heart rate and sleep patterns among WBS patients.","Project Purpose(s)
Control Set","Scientific Approaches
We would like to compare the patients (elastin haploinsufficiency) with the normal healthy controls and monitor their daily heart rate and sleep pattern in a defined time window using wearable devices.","Anticipated Findings
We anticipate that the patients display increased heart rates and irregular sleeping and waking patterns.","Demographic Categories of Interest
This study will not center on underrepresented populations.","Data Set Used
Controlled Tier","Research Team
Owner:
Elahe Hasanzadeh
- Research Associate, National Heart, Lung, and Blood Institute (NIH - NHLBI)","Monitoring heart and sleep data using Wearable devices Williams-Beuren syndrome (WBS) is a rare multi-system disease which arises from a chromosomal microdeletion of 7q11.23, comprising 25 to 27 genes, including the elastin gene. The defects in the elastin gene, leading to elastin haploinsufficiency, underlie the arteriopathy in WBS,…",card-247,cardiovascular
wearable_genome_disease,"A complex interaction of environmental and genetic factors causes cardiovascular disease, including coronary artery disease (CAD), arrhythmia, heart valve disease, and heart failure. Previous genetic studies have clarified genetic factors of cardiovascular diseases. However, the effect of environmental factors is…","Scientific Questions Being Studied
A complex interaction of environmental and genetic factors causes cardiovascular disease, including coronary artery disease (CAD), arrhythmia, heart valve disease, and heart failure. Previous genetic studies have clarified genetic factors of cardiovascular diseases. However, the effect of environmental factors is not fully characterized. In this study, we will study the","Project Purpose(s)
Ancestry","Scientific Approaches
First, I will extract data of cardiac patients with genomic information and participants with genomic information and Wearable data and perform genome-wide association studies for these traits. The results of the GWASs will then be used to study the causal relationship of digital biomarkers from Wearable data to cardiac disease using methods such as Mendelian randomization (MR).","Anticipated Findings
It is anticipated that some of the digital biomarkers obtained from wearable devices are causal to the development of cardiac disease. This study will identify factors that are causally related to the development of cardiac disease.","Demographic Categories of Interest
This study will not center on underrepresented populations.","Data Set Used
Controlled Tier","Research Team
Owner:
Hirotaka Ieki
- Research Fellow, Stanford University","wearable_genome_disease A complex interaction of environmental and genetic factors causes cardiovascular disease, including coronary artery disease (CAD), arrhythmia, heart valve disease, and heart failure. Previous genetic studies have clarified genetic factors of cardiovascular diseases. However, the effect of environmental factors is…",card-248,cardiovascular
Duplicate of Duplicate of Genetics of Bipolar Disorder and Comorbidities - v7,"We will use the genetics and associated information in the All of Us research dataset to analyze genetic contributions to bipolar disorder, its comorbidities and treatment response, in racial and ethnic minority populations. Specific questions we will ask are: 1.…","Scientific Questions Being Studied
We will use the genetics and associated information in the All of Us research dataset to analyze genetic contributions to bipolar disorder, its comorbidities and treatment response, in racial and ethnic minority populations. Specific questions we will ask are:
1. Are the genetic associations for bipolar disorder previously identified in white populations also associated with Black and Latino populations?
2. Are genetic associations between biopolar disorder and cardiovascular disease (or metabolic syndrome) observed in white, Black, and Latino populations?
3. Are there unique genetic polymorphisms in Black populations associated with lithium response in bipolar disorder treatment?
We hypothesize that genetic associations with bipolar disorder in racial and ethnic minority populations will partially overlap with genetic variation previously identified in white populations, but that there will be unique population-specific variation as well, particularly for lithium response.","Project Purpose(s)
Disease Focused Research (Bipolar Disorder)
Ancestry","Scientific Approaches
We will use PLINK and/or other GWAS tools within the All of Us Research Workbench on whole genome sequence data. The population with bipolar disorder or manic episodes without a bipolar disorder diagnosis will be defined by ICD-10-CM codes of F31.x and/or F30.x respectively. Racial and gender self-identification will be used as primary covariates with other demographic variables (e.g., age) considered as confounding variables. Ancestry informative markers and whole genome PCA will be used to control for genetic ancestry and population substructure. We will also consider BMI and other cardiovascular risk factors (blood pressure, cholesterol diabetes). Lastly we will examine therapeutic doses of lithium and lithium response (where possible). Limitations include lack of specificity in diagnosis and/or presentation and incomplete or unclear data on efficacy of specific pharmaceutical therapy.","Anticipated Findings
We anticipate confirming that genetic variation associated with bipolar disorder in white populations is similar, though not necessarily identical, in racial and ethnic minority populations. We also anticipate identifying genetic factors unique to these populations, particularly associated with lithium response. Trans-ethnic studies are important, even as validation studies, because they extend our understanding of disease to populations that have been traditionally underserved in medicine. Further, these studies will elucidate differences in response to lithium that have hindered proper access to treatment.
Because the intersection of mental health, genetics, and racial disparities can be stigmatizing, we surveyed the patient community and developed a community advisory board (CAB) of stakeholders (including patients) focused on bipolar disorder and genomics for regular feedback. This is in addition to more general CABs and collaborative efforts towards mental health literacy.","Demographic Categories of Interest
Race / Ethnicity","Data Set Used
Controlled Tier","Research Team
Owner:
Eric Vallender
- Mid-career Tenured Researcher, University of Mississippi Medical Center","Duplicate of Duplicate of Genetics of Bipolar Disorder and Comorbidities - v7 We will use the genetics and associated information in the All of Us research dataset to analyze genetic contributions to bipolar disorder, its comorbidities and treatment response, in racial and ethnic minority populations. Specific questions we will ask are: 1.…",card-249,cardiovascular
Cardiovascular Disease and PGx Drugs,We intend to determine what the sample size is in order to investigate the characteristics and model drug response in patients with cardiovascular disease by genotype.,"Scientific Questions Being Studied
We intend to determine what the sample size is in order to investigate the characteristics and model drug response in patients with cardiovascular disease by genotype.","Project Purpose(s)
Other Purpose (This is a proof of concept workspace to develop a cohort and test power for examining cardiovascular disease and medications with CPIC guidelines.)","Scientific Approaches
We will create a cardiovascular disease cohort, and use descriptive statistics as well as modeling to describe the cohort and investigate outcomes.","Anticipated Findings
We hope to describe the cohort and identify additional characteristics that would help advance precision medicine.","Demographic Categories of Interest
Race / Ethnicity
Age
Sex at Birth
Geography
Access to Care
Education Level
Income Level","Data Set Used
Controlled Tier","Research Team
Owner:
Caitrin McDonough
- Early Career Tenure-track Researcher, University of Florida",Cardiovascular Disease and PGx Drugs We intend to determine what the sample size is in order to investigate the characteristics and model drug response in patients with cardiovascular disease by genotype.,card-250,cardiovascular
AFib epidemiology (AOU v4),"The overall goal of this study, as a Demonstration project, is to evaluate the ability of the All of Us Research Program data to replicate epidemiologic patterns of atrial fibrillation (AF), a common arrhythmia, previously described in other setting. We…","Scientific Questions Being Studied
The overall goal of this study, as a Demonstration project, is to evaluate the ability of the All of Us Research Program data to replicate epidemiologic patterns of atrial fibrillation (AF), a common arrhythmia, previously described in other setting. We will address this goal with these two aims:
• Specific Aim 1. To determine the association of race and ethnicity with the prevalence and incidence of atrial fibrillation (AF). We hypothesize than non-whites will have lower prevalence and incidence of AF than whites.
• Specific Aim 2. To estimate associations of established risk factors for AF with the prevalence and incidence of AF. We hypothesize that increased body mass index, higher blood pressure, diabetes, smoking and a prior history of cardiovascular diseases will be associated with increased prevalence and incidence of AF.","Project Purpose(s)
Population Health
Other Purpose (This work is a result of an All of Us Research Program Demonstration Project. The projects are efforts by the Program designed to meet the program's goal of ensuring the quality and utility of the Research Hub as a resource for accelerating discovery in science and medicine. This work was reviewed and overseen by the All of Us Research Program Science Committee and the Data and Research Center to ensure compliance with program policy, including policies for acceptable data access and use.)","Scientific Approaches
We will select all All of Us participants who self-reported sex at birth male or female, whose self-reported race was white, black or Asian, as well as those who self-reported being Hispanics.
Atrial fibrillation (AF) will be identified from self-reports in the medical survey or from electronic health records (EHR).
Clinical factors will be identified from EHR and study measurements (blood pressure, weight, height).
We will evaluate the association of demographic (age, sex, race/ethnicity) and clinical (body mass index, blood pressure, smoking, cardiovascular diseases) factors with prevalence of self-reported AF and prevalence of AF in the EHR, as well as incident AF ascertained from the EHR.","Anticipated Findings
The overall goal of this project is to evaluate the prevalence and incidence of atrial fibrillation (AF), overall and by race/ethnicity, as well as to confirm the association of established risk factors for AF in the All of Us Research participants. We expect to confirm associations between demographic and clinical variables previously reported in the literature, demonstrating the value of the All of Us Research Program data to address questions regarding this common cardiovascular disease.","Demographic Categories of Interest
Race / Ethnicity
Age","Data Set Used
Registered Tier","Research Team
Owner:
Peter Buto
- Graduate Trainee, Emory University
Christopher Lord
- Project Personnel, All of Us Program Operational Use
Alvaro Alonso
- Late Career Tenured Researcher, Emory University
Collaborators:
Vignesh Subbian - Early Career Tenure-track Researcher, University of Arizona
Francis Ratsimbazafy - Other, All of Us Program Operational Use
Aymone Kouame - Other, All of Us Program Operational Use
Aniqa Alam
Konstantinos Sidiropoulos - Other, Nova Southeastern University","AFib epidemiology (AOU v4) The overall goal of this study, as a Demonstration project, is to evaluate the ability of the All of Us Research Program data to replicate epidemiologic patterns of atrial fibrillation (AF), a common arrhythmia, previously described in other setting. We…",card-251,cardiovascular
BOLD T2II,The purpose of this workspace is to characterize genomic variants from Lupus patients with cardiovascular disease for any significant variants.,"Scientific Questions Being Studied
The purpose of this workspace is to characterize genomic variants from Lupus patients with cardiovascular disease for any significant variants.","Project Purpose(s)
Disease Focused Research (LUPUS and Cardiovascular Disease)
Ancestry
Other Purpose (Advance knowledge of related genes to lupus and cardiovascular disease)","Scientific Approaches
Cohort builder to create a population. Hail matrix table in Jupyter notebook to determine variants all within the AoU platform.","Anticipated Findings
Unique variants are anticipated associated with lupus patients with cardiovascular disease.","Demographic Categories of Interest
Race / Ethnicity","Data Set Used
Controlled Tier","Research Team
Owner:
Xyanthine  Parillon
- Teacher/Instructor/Professor, University of Houston-Downtown
Eric Butler
- Early Career Tenure-track Researcher, Shaw University",BOLD T2II The purpose of this workspace is to characterize genomic variants from Lupus patients with cardiovascular disease for any significant variants.,card-252,cardiovascular
Clustering Cardiovascular Patients,"I have developed a method called SLAC-Time, which utilizes a self-supervised learning approach for clustering multivariate time series data with missing values. I intend to apply SLAC-Time to group patients with cardiovascular diseases using the data from the All of…","Scientific Questions Being Studied
I have developed a method called SLAC-Time, which utilizes a self-supervised learning approach for clustering multivariate time series data with missing values. I intend to apply SLAC-Time to group patients with cardiovascular diseases using the data from the All of Us dataset. This is fitting, as these patients are represented through clinical multivariate time-series data. Therefore, this context presents a suitable scenario for evaluating the effectiveness of SLAC-Time. In this research, I will investigate if SLAC-Time provides clinically meaningful clusters of cardiovascular patients and if there is a significant difference between the clusters. We are going to identify the feature profile of the cardiovascular patient phenotypes.","Project Purpose(s)
Disease Focused Research (Cardiovascular diseases)
Methods Development","Scientific Approaches
The scientific approaches I plan to employ in this study mainly revolve around the utilization of SLAC-Time, a self-supervised learning-based method I have developed. This approach is tailored for clustering multivariate time series data, even in instances where certain values may be missing.
The primary dataset I intend to work with is the All of Us dataset, which contains a wealth of health data from diverse individuals. This dataset is particularly useful for my study, as it includes a rich set of clinical multivariate time-series data that represents patients with cardiovascular diseases.
Lastly, the tools I will use for this study are likely to be a combination of machine learning frameworks, statistical analysis software, and data visualization tools. They will be used to implement SLAC-Time, analyze the results, and visually represent the clusters of cardiovascular patients and their defining features.","Anticipated Findings
The anticipated findings from this study will hopefully reveal that SLAC-Time can effectively cluster cardiovascular patients in a manner that produces clinically meaningful clusters. Additionally, we expect to find a significant difference between these clusters, which will give us insights into the various phenotypes of cardiovascular patients.
These findings will contribute to the body of scientific knowledge by providing a new perspective on patient grouping based on time-series data. Moreover, the application of SLAC-Time on cardiovascular disease data could help in personalized treatment approaches, understanding disease progression patterns, and potentially uncovering new subtypes of cardiovascular diseases. The ability to handle missing data will also provide a more robust tool for real-world clinical data, which often contains gaps. This can potentially lead to more accurate disease prediction and patient management strategies.","Demographic Categories of Interest
This study will not center on underrepresented populations.","Data Set Used
Controlled Tier","Research Team
Owner:
Hamid Ghaderi
- Graduate Trainee, University of Arizona","Clustering Cardiovascular Patients I have developed a method called SLAC-Time, which utilizes a self-supervised learning approach for clustering multivariate time series data with missing values. I intend to apply SLAC-Time to group patients with cardiovascular diseases using the data from the All of…",card-253,cardiovascular
Colorado Anesthesia Perioperative Outcomes,Cardiovascular disease including heart attack and stroke is significant contributor to morbidity and mortality in the perioperative period. Studies in cardiac literature have demonstrated medications for treating cardiovascular disease are not all created equal with respect to ethnic and social…,"Scientific Questions Being Studied
Cardiovascular disease including heart attack and stroke is significant contributor to morbidity and mortality in the perioperative period. Studies in cardiac literature have demonstrated medications for treating cardiovascular disease are not all created equal with respect to ethnic and social background. Some medications work better than others in specific population groups. We would like to explore how use of anticoagulation medications to prevent thrombosis vary across a diverse population with respect perioperative outcomes, complications, and specifically platelet hyperreactivity.","Project Purpose(s)
Educational
Methods Development
Control Set","Scientific Approaches
We will use accepted methods of statistical analysis including multivariate modeling, machine learning modeling, and outlier detection methods to examine the intersection between ethnic background, platelet hyperreactivity, and medication use to identify which anticoagulation medications are best suited for different patient groups.","Anticipated Findings
We believe this research will reveal how to personalize anticoagulation recommendations perioperatively for specific populations to minimize risk of thrombosis.","Demographic Categories of Interest
This study will not center on underrepresented populations.","Data Set Used
Registered Tier","Research Team
Owner:
Elijah Christensen
- Graduate Trainee, University of Colorado, Denver
Collaborators:
Nathan Clendenen - Early Career Tenure-track Researcher, University of Colorado, Denver",Colorado Anesthesia Perioperative Outcomes Cardiovascular disease including heart attack and stroke is significant contributor to morbidity and mortality in the perioperative period. Studies in cardiac literature have demonstrated medications for treating cardiovascular disease are not all created equal with respect to ethnic and social…,card-254,cardiovascular
