title,main_goal_and_aims,Questions,Purpose,Approaches,Findings,Categories,DataTier,Team,combined_text,Extracted Team Info,Roles,Researchers,Institutions,Individuals Per Team,Unique Individuals Per Entry,Unique Institutions Per Entry,Is Multi-Institutional,Keywords,UMLS_Codes
COPD_workspace,"Asthma and chronic obstructive pulmonary disease are different disorders that may coexist in individual patients. Patients with asthma-COPD overlap (ACO) have a greater disease burden and worse health outcomes than patients with either condition alone. To date, much of our…","Scientific Questions Being Studied
Asthma and chronic obstructive pulmonary disease are different disorders that may coexist in individual patients. Patients with asthma-COPD overlap (ACO) have a greater disease burden and worse health outcomes than patients with either condition alone. To date, much of our knowledge of ACO has been extrapolated from asthma and COPD studies, which often excluded individuals with ACO. We aim to discover novel genetic risk factors of ACO and related sub-phenotypes likely caused by a range of different underlying mechanisms. While smoking causes most cases of COPD, some never-smokers develop COPD and some life-long heavy smokers do not. This study aims to perform genome-wide association studies and gene-by-environmental interaction analyses within the AllOfUs dataset to: 1) investigate genetic commonalities and differences among ACO and each disease alone, and 2) identify how smoking and non-smoking risk factors are at play in their pathophysiology.","Project Purpose(s)
Disease Focused Research (chronic obstructive pulmonary disease)
Methods Development
Ancestry","Scientific Approaches
We focus on Asthma and COPD diagnoses in AllOfUs, excluding cystic fibrosis cases. We classify explicit ACO diagnoses and individuals with both diseases as ACO cases. Our GWAS targets latent dimensions of these diagnoses and related features, including various related diseases and measurements with analogous features in UK Biobank for SNP hit validation. We hypothesize that continuous features from related phenotypes may yield stronger SNP associations than logistic regression on heterogeneous binary phenotypes, and the latent dimensions may also represent distinct interpretable clinical manifestations of otherwise heterogeneous diseases. We will analyze the genome-wide genotyping data for associations with these latent dimensions and assess interactions with environmental factors using regression models. We will use feature importance methods to ascertain which input features are responsible for the correlations with interesting SNP hits.","Anticipated Findings
Asthma, COPD, and ACO are heterogeneous diseases that likely include a number of phenotypes with distinct clinical and genetic identifiers. We can compare which genetically estimated latent dimensions significantly contribute to each of these heterogeneous diseases. In addition to comparing the genetic basis of three deeply confounded diseases, we also hope to discover novel genetic factors and gene-environmental interactions that open opportunities for disease prevention and therapeutic intervention.","Demographic Categories of Interest
This study will not center on underrepresented populations.","Data Set Used
Controlled Tier","Research Team
Owner:
John Gregg
- Research Fellow, University of Pennsylvania","COPD_workspace Asthma and chronic obstructive pulmonary disease are different disorders that may coexist in individual patients. Patients with asthma-COPD overlap (ACO) have a greater disease burden and worse health outcomes than patients with either condition alone. To date, much of our…","1. [""Owner"", ""Research Fellow""]
2. [""John Gregg""]
3. [""University of Pennsylvania""]","['Owner', 'Research Fellow']",['John Gregg'],['University of Pennsylvania'],1,1,1,FALSE,"['Asthma-COPD Overlap (ACO)', 'Genetic risk factors', 'Genome-wide association studies', 'Gene-by-environmental interaction analyses', 'Smoking and non-smoking risk factors', 'AllOfUs dataset', 'Latent dimensions', 'Feature importance methods', 'Gene-environmental interactions', 'Therapeutic intervention']","['C2939455', 'C1705292', 'C1705618', 'C4084707', 'C3270633', 'C1705065', 'C1705397', 'C1705725', 'C0013258', 'C1948022']"
LCS-EPI,I am using low-cost air sensors to monitor the air pollution concentration in certain areas. I want to observe the air pollution-related health disparities occurring in some regions where underrepresented populations are in the United States. Air pollution is related…,"Scientific Questions Being Studied
I am using low-cost air sensors to monitor the air pollution concentration in certain areas. I want to observe the air pollution-related health disparities occurring in some regions where underrepresented populations are in the United States. Air pollution is related to respiratory diseases, such as asthma. I hope to find some health data related to respiratory diseases with geographical information for environmental justice research.","Project Purpose(s)
Population Health
Educational","Scientific Approaches
I want to use geographic information and health outcomes to see whether underrepresented and vulnerable populations are more exposed to air pollution than other populations. Also, I hope to see underrepresented and vulnerable populations have higher incidence rates for certain respiratory diseases, such as COPD.","Anticipated Findings
I anticipate that people living in unprotected areas from air pollution exposure can experience respiratory disease symptoms with a higher likelihood than those of others who are living in more clean areas.","Demographic Categories of Interest
Geography
Education Level
Income Level","Data Set Used
Registered Tier","Research Team
Owner:
In Kyu Park
- Graduate Trainee, University of Massachusetts, Amherst",LCS-EPI I am using low-cost air sensors to monitor the air pollution concentration in certain areas. I want to observe the air pollution-related health disparities occurring in some regions where underrepresented populations are in the United States. Air pollution is related…,"1. [""Owner"", ""Graduate Trainee""]
2. [""In Kyu Park""]
3. [""University of Massachusetts, Amherst""]","['Owner', 'Graduate Trainee']",['In Kyu Park'],"['University of Massachusetts, Amherst']",1,1,1,FALSE,"['low-cost air sensors', 'air pollution concentration', 'health disparities', 'underrepresented populations', 'United States', 'respiratory diseases', 'asthma', 'environmental justice research', 'geographic information', 'COPD']","['C1513529', 'C0001945', 'C0205863', 'C0020207', 'C0041608', 'C0035222', 'C0004096', 'C0243026', 'C3892671', 'C0024117']"
diabetes & asthma &  etc,Relationship among different type of diabetes and asthma. Relationship among different type of diabetes and asthma. Relationship among different type of diabetes and asthma. Relationship among different type of diabetes and asthma.,"Scientific Questions Being Studied
Relationship among different type of diabetes and asthma. Relationship among different type of diabetes and asthma. Relationship among different type of diabetes and asthma. Relationship among different type of diabetes and asthma.","Project Purpose(s)
Disease Focused Research (autoimmune diseases)","Scientific Approaches
Relationship among different type of diabetes and asthma. Relationship among different type of diabetes and asthma. Relationship among different type of diabetes and asthma. Relationship among different type of diabetes and asthma.","Anticipated Findings
Relationship among different type of diabetes and asthma. Relationship among different type of diabetes and asthma. Relationship among different type of diabetes and asthma. Relationship among different type of diabetes and asthma.","Demographic Categories of Interest
This study will not center on underrepresented populations.","Data Set Used
Registered Tier","Research Team
Owner:
xueting wang
- Graduate Trainee, Yale University",diabetes & asthma &  etc Relationship among different type of diabetes and asthma. Relationship among different type of diabetes and asthma. Relationship among different type of diabetes and asthma. Relationship among different type of diabetes and asthma.,"1. [""Owner"", ""Graduate Trainee""]
2. [""xueting wang""]
3. [""Yale University""]","['Owner', 'Graduate Trainee']",['xueting wang'],['Yale University'],1,1,1,FALSE,"['Asthma', 'Pollution', 'Diabetes', 'Relationship', 'Type 1 Diabetes', 'Type 2 Diabetes', 'Research', 'Scientific', 'Findings', 'Anticipated']","['C0004096', 'C0032460', 'C0011849', 'C0683323', 'C0011854', 'C0011860', 'C0023895', 'C0683284', 'C1705280', 'C1510749']"
HS & Asthma,"There is some recent literature that describes an increased prevalence of asthma in patients with hidradenitis suppurativa, compared to the standard population. This study aims to explore the patient demographics/characteristics, risk factors, and/or additional co-morbidities that are associated with a…","Scientific Questions Being Studied
There is some recent literature that describes an increased prevalence of asthma in patients with hidradenitis suppurativa, compared to the standard population. This study aims to explore the patient demographics/characteristics, risk factors, and/or additional co-morbidities that are associated with a dual diagnosis of hidradenitis suppurativa and asthma.","Project Purpose(s)
Disease Focused Research (hidradenitis suppurativa)","Scientific Approaches
This study will compare patients diagnosed with both hidradenitis suppurativa and asthma, to patients with only an HS diagnosis. We will perform statistical analysis with odds ratio and student t-test to identify significant differences between the two groups.","Anticipated Findings
Our study aims to identify the factors associated with HS and asthma, such that future clinicians may better screen and address any associated co-morbidities.","Demographic Categories of Interest
This study will not center on underrepresented populations.","Data Set Used
Registered Tier","Research Team
Owner:
Austin Hwang
- Graduate Trainee, Northwestern University
Collaborators:
Zhanlin Chen - Graduate Trainee, Northwestern University","HS & Asthma There is some recent literature that describes an increased prevalence of asthma in patients with hidradenitis suppurativa, compared to the standard population. This study aims to explore the patient demographics/characteristics, risk factors, and/or additional co-morbidities that are associated with a…","1. [""Owner"", ""Graduate Trainee"", ""Graduate Trainee""]
2. [""Austin Hwang"", ""Zhanlin Chen""]
3. [""Northwestern University"", ""Northwestern University""]","['Owner', 'Graduate Trainee', 'Graduate Trainee']","['Austin Hwang', 'Zhanlin Chen']","['Northwestern University', 'Northwestern University']",2,2,1,FALSE,"['Asthma', 'Hidradenitis suppurativa', 'Patient demographics', 'Risk factors', 'Co-morbidities', 'Dual diagnosis', 'Statistical analysis', 'Odds ratio', 'Student t-test', 'Screening']","['C0004096', 'C0020428', 'C0011245', 'C0033575', 'C0018916', 'C0520679', 'C0038574', 'C0030580', 'C0040395', 'C0036508']"
Bronchiectasis,"Degree of overlap and co-occurrence of obstructive lung diseases (asthma, COPD, bronchiectasis) and to study differences in the overlap and co-occurrence of these conditions by sex/gender, ethnicity, smoking history, geographic region, BMI, and socioeconomic status. Examine clinical and laboratory data…","Scientific Questions Being Studied
Degree of overlap and co-occurrence of obstructive lung diseases (asthma, COPD, bronchiectasis) and to study differences in the overlap and co-occurrence of these conditions by sex/gender, ethnicity, smoking history, geographic region, BMI, and socioeconomic status. Examine clinical and laboratory data that support the diagnosis of these conditions. We will also examine the co-occurrence of these conditions with other common cardio-pulmonary conditions including pulmonary hypertension, sleep apnea, and heart failure. Additionally, we hope to examine how treatment varies amongst patients with one disease compared to those with multiple overlap conditions.","Project Purpose(s)
Disease Focused Research (Bronchiectasis)","Scientific Approaches
All of the EHR condition domains define the presence of these conditions, as do the Basics, Lifestyle, and Overall Health survey data to examine demographics, smoking history, family history, and ethnicity concerning these conditions. We would use standard statistical approaches within R to examine descriptive statistics, correlations, and between-group differences.","Anticipated Findings
We suspect that we will find significant overlap in these above-stated conditions, but that the prevalence of overlap will vary amongst population subgroups. We anticipate that some degree of overlap will be due to diagnostic mislabeling that may be found to not be supported by diagnostic testing in the EHR data. The presence of a higher overlap of these conditions within certain groups may provide clues into the pathophysiology and prevention of these conditions.","Demographic Categories of Interest
This study will not center on underrepresented populations.","Data Set Used
Registered Tier","Research Team
Owner:
Mahima Jain
- Project Personnel, Boston University
Collaborators:
Ruchika Sangani - Research Fellow, Boston University
George O'Connor - Late Career Tenured Researcher, Boston University","Bronchiectasis Degree of overlap and co-occurrence of obstructive lung diseases (asthma, COPD, bronchiectasis) and to study differences in the overlap and co-occurrence of these conditions by sex/gender, ethnicity, smoking history, geographic region, BMI, and socioeconomic status. Examine clinical and laboratory data…","1. [""Owner"", ""Project Personnel"", ""Research Fellow"", ""Late Career Tenured Researcher""]
2. [""Mahima Jain"", ""Ruchika Sangani"", ""George O'Connor""]
3. [""Boston University"", ""Boston University"", ""Boston University""]","['Owner', 'Project Personnel', 'Research Fellow', 'Late Career Tenured Researcher']","['Mahima Jain', 'Ruchika Sangani', ""George O'Connor""]","['Boston University', 'Boston University', 'Boston University']",3,3,1,FALSE,"['obstructive lung diseases', 'asthma', 'COPD', 'bronchiectasis', 'overlap and co-occurrence', 'sex/gender', 'ethnicity', 'smoking history', 'geographic region', 'socioeconomic status']","['C0024115', 'C0004096', 'C0024117', 'C0006267', 'C1862980', 'C0282445', 'C1518121', 'C0000136', 'C0014365', 'C0549483']"
PROJECT1,The research question for this project is to build a prediction model for asthma exacerbation in adult US population.,"Scientific Questions Being Studied
The research question for this project is to build a prediction model for asthma exacerbation in adult US population.","Project Purpose(s)
Disease Focused Research (asthma)","Scientific Approaches
We will use machine learning models to predict asthma exacerbation. we ill use diverse population in All of US study to build generalisable prediction model.","Anticipated Findings
We anticipate robust prediction model which can be generalised to US population including minorities.","Demographic Categories of Interest
This study will not center on underrepresented populations.","Data Set Used
Registered Tier","Research Team
Owner:
Sahithi Thummuri
- Graduate Trainee, Indiana University",PROJECT1 The research question for this project is to build a prediction model for asthma exacerbation in adult US population.,"1. [""Owner"", ""Graduate Trainee""]
2. [""Sahithi Thummuri""]
3. [""Indiana University""]","['Owner', 'Graduate Trainee']",['Sahithi Thummuri'],['Indiana University'],1,1,1,FALSE,"['asthma exacerbation', 'prediction model', 'adult US population', 'machine learning models', 'diverse population', 'All of Us study', 'generalizable prediction model', 'minorities', 'robust prediction model', 'US population']","['C0012650', 'C0684249', 'C1527394', 'C1705256', 'C1707186', 'C4040203', 'C0205390', 'C0026143', 'C1704470', 'C0042109']"
GDF11 PheWAS V6 (2.0),Our overarching goal is to determine the traits that GDF11 SNPs (identified in previously published GWAS – using our previous study) are significantly associated with in a diverse US population. We wish to conduct population stratification to see if expression…,"Scientific Questions Being Studied
Our overarching goal is to determine the traits that GDF11 SNPs (identified in previously published GWAS – using our previous study) are significantly associated with in a diverse US population. We wish to conduct population stratification to see if expression of GDF11 SNPs results in different health outcomes when varying genetic ancestry. We hope these results will shed light on how GDF11 expression plays a role in the development of various chronic cardio-vascular and respiratory conditions including asthma. We plan on conducting population stratification so that we may analyze results in the context of the total, diverse US population and also within the context of focusing on groups with shared genetic ancestry. Our null hypothesis is that disease associations with this SNP would be consistent across ancestral backgrounds.","Project Purpose(s)
Population Health
Ancestry","Scientific Approaches
METHODS: Tools: We will utilize a mix of Python and R via the Jupyter Notebooks to conduct a Phenome-Wide Association Study. Logistic regression will be performed using the ‘statsmodels’ module. Our exposure variable will be expression of various GDF11 SNPs. We will use previously established mapping of ICD 9 and ICD 10 disease representation to a set of common PheCodes that will be pulled from the Smoking PheWAS tutorial workspace available on AoU.","Anticipated Findings
We hypothesize that GDF11 will be associated with various cardio-vascular and respiratory diseases like asthma and that these results would be consistent with results found in our previous study conducted using the UK Biobank.","Demographic Categories of Interest
Race / Ethnicity","Data Set Used
Controlled Tier","Research Team
Owner:
Sudhanva Rao
- Undergraduate Student, University of Georgia
Jessica Strosahl
- Graduate Trainee, University of Georgia",GDF11 PheWAS V6 (2.0) Our overarching goal is to determine the traits that GDF11 SNPs (identified in previously published GWAS – using our previous study) are significantly associated with in a diverse US population. We wish to conduct population stratification to see if expression…,"1. [""Owner"", ""Undergraduate Student"", ""Graduate Trainee""]
2. [""Sudhanva Rao"", ""Jessica Strosahl""]
3. [""University of Georgia"", ""University of Georgia""]","['Owner', 'Undergraduate Student', 'Graduate Trainee']","['Sudhanva Rao', 'Jessica Strosahl']","['University of Georgia', 'University of Georgia']",2,2,1,FALSE,"['GDF11 SNPs', 'GWAS', 'Population stratification', 'Genetic ancestry', 'Cardiovascular conditions', 'Respiratory conditions', 'Asthma', 'Logistic regression', 'ICD-9', 'ICD-10']","['C1708677', 'C1705494', 'C1516814', 'C1704660', 'C0007222', 'C0035229', 'C0004096', 'C0023989', 'C0150312', 'C0424061']"
"Association between keloid, atopic dermatitis, allergic contact dermatitis","1. Is there an increased risk for keloids in patients with atopic dermatitis (AD) . Atopic dermatitis is associated with allergic comorbidities, such as asthma, allergic rhinitis (AR), and allergic contact dermatitis (ACD). The etiology of keloid is largely unknown;…","Scientific Questions Being Studied
1. Is there an increased risk for keloids in patients with atopic dermatitis (AD) . Atopic dermatitis is associated with allergic comorbidities, such as asthma, allergic rhinitis (AR), and allergic contact dermatitis (ACD). The etiology of keloid is largely unknown; however, AD and keloid share inflammatory pathways characterized by T-helper cell 2 cytokines and increased dermal fibroblast activity. The prevalence of keloids has been reported to increase in patients with AD, but it
remains controversial. This study aimed to estimate the prevalence of keloids in patients with AD, and compare it with the prevalence of other comorbidities of AD.
2. Is there an increased risk for allergic contact dermatitis (ACD) in patients with AD. Patients with AD have increased penetration of allergens, immune dysregulation (including shared cytokine pathways), and frequent use of emollients and topical medications, all of which may predispose toward developing ACD.","Project Purpose(s)
Disease Focused Research (keloid, atopic dermatitis, allergic contact dermatitis)","Scientific Approaches
A cross-sectional study was conducted using electronic health record data (EHRD) from the All of Us database to compare the odds of CR in those with and without AD.
Patients with AD were compared with those without. Pearson’s chi-squared test or Fisher exact test was used for categorical variables, and an unpaired t test was used for the continuous variables. Multivariable analyses using logistic regression were used to determine the association between AD and ACD/Keloid after controlling for demographics and other atopic comorbidities.","Anticipated Findings
there is an increased risk for keloids in patients with atopic dermatitis (AD) . Atopic dermatitis is associated with allergic comorbidities, such as asthma, allergic rhinitis (AR), and allergic contact dermatitis (ACD). The etiology of keloid is largely unknown; however, AD and keloid share inflammatory pathways characterized by T-helper cell 2 cytokines and increased dermal fibroblast activity. The prevalence of keloids has been reported to increase in patients with AD, but it
remains controversial. This study aimed to estimate the prevalence of keloids in patients with AD, and compare it with the prevalence of other comorbidities of AD.
there is an increased risk for allergic contact dermatitis (ACD) in patients with AD. Patients with AD have increased penetration of allergens, immune dysregulation (including shared cytokine pathways), and frequent use of emollients and topical medications, all of which may predispose toward developing ACD.","Demographic Categories of Interest
This study will not center on underrepresented populations.","Data Set Used
Registered Tier","Research Team
Owner:
Li-Chi Chen
- Research Fellow, Beth Israel Deaconess Medical Center
Collaborators:
Mykayla Sandler - Graduate Trainee, Harvard Medical School","Association between keloid, atopic dermatitis, allergic contact dermatitis 1. Is there an increased risk for keloids in patients with atopic dermatitis (AD) . Atopic dermatitis is associated with allergic comorbidities, such as asthma, allergic rhinitis (AR), and allergic contact dermatitis (ACD). The etiology of keloid is largely unknown;…","1. [""Owner"", ""Research Fellow"", ""Graduate Trainee""]
2. [""Li-Chi Chen"", ""Mykayla Sandler""]
3. [""Beth Israel Deaconess Medical Center"", ""Harvard Medical School""]","['Owner', 'Research Fellow', 'Graduate Trainee']","['Li-Chi Chen', 'Mykayla Sandler']","['Beth Israel Deaconess Medical Center', 'Harvard Medical School']",2,2,2,TRUE,"['Atopic dermatitis', 'Keloids', 'Allergic Rhinitis', 'Asthma', 'Allergic Contact Dermatitis', 'Multivariable analyses']","['C0004153', 'C0022564', 'C0002170', 'C0004096', 'C0002104', 'C4553045']"
Calcium Inibs and MM,"Evaluate the use of Antihypertensive drugs, in particular Calcium Channel Blockers, as Risk Factors for Multiple Myeloma. Taking into consideration population demographics (including age, sex, and race/ethnicity), health insurance status, body mass index before MM diagnosis, environmental factors (as indicated…","Scientific Questions Being Studied
Evaluate the use of  Antihypertensive drugs, in particular Calcium Channel Blockers, as Risk Factors for Multiple Myeloma.
Taking into consideration population demographics (including age, sex, and race/ethnicity), health insurance status, body mass index before MM diagnosis, environmental factors (as indicated by the zipcode's deprivation index), and pre-existing comorbidities before MM diagnosis such as congestive heart failure (CHF), chronic obstructive pulmonary disease (COPD), hypertension (treated and untreated), diabetes, and asthma and when available using haplotype data too.","Project Purpose(s)
Disease Focused Research (multiple myeloma)
Ancestry","Scientific Approaches
We will utilize structured and unstructured datasets, including socio-demographic, occupational, dietary, and health (SODH) data and genome-wide association study (GWAS) data, plus genomic markers. Our methods will encompass data preprocessing, exploratory data analysis, genetic association studies, statistical modelling and machine learning modeling, followed by model evaluation. We will employ tools for data management, genetic analysis, machine learning, and visualization, such as Python, R, PLINK, GCTA, Scikit-learn, and Matplotlib. High-performance computing may also be used, depending on dataset sizes. Through these methods and tools, we aim to deepen understanding of genetic and environmental influences on multiple myeloma risk.","Anticipated Findings
Identify new genetic and demographic risk factors for multiple myeloma.
Evaluate the synergistic effects between these factors in disease susceptibility.
Create a predictive model for assessing individual risk for this disease, leading to early diagnosis and  improved outcomes.
These findings could enhance our understanding of multiple myeloma, support the development of preventive and therapeutic strategies.","Demographic Categories of Interest
Race / Ethnicity
Geography","Data Set Used
Registered Tier","Research Team
Owner:
Ariel Aptekmann
- Project Personnel, Hackensack University Medical Center","Calcium Inibs and MM Evaluate the use of Antihypertensive drugs, in particular Calcium Channel Blockers, as Risk Factors for Multiple Myeloma. Taking into consideration population demographics (including age, sex, and race/ethnicity), health insurance status, body mass index before MM diagnosis, environmental factors (as indicated…","1. [""Owner"", ""Project Personnel""]
2. [""Ariel Aptekmann""]
3. [""Hackensack University Medical Center""]","['Owner', 'Project Personnel']",['Ariel Aptekmann'],['Hackensack University Medical Center'],1,1,1,FALSE,"['Antihypertensive drugs', 'Calcium Channel Blockers', 'Risk Factors', 'Multiple Myeloma', 'Population demographics', 'Environmental factors', 'Comorbidities', 'Genetic association studies', 'Machine learning modeling', 'Predictive model']","['C0003292', 'C0007018', 'C1706309', 'C0026764', 'C1708801', 'C0014353', 'C0015397', 'C1706068', 'C1709786', 'C3279731']"
LRS/EIHS,1. How does socioeconomic status influence the risk of stroke? 2. How does marijuana use affect anxiety? 3. What is the impact of social life on a person’s marijuana usage? 4. What is the effect of urban vs. rural living…,"Scientific Questions Being Studied
1. How does socioeconomic status influence the risk of stroke?
2. How does marijuana use affect anxiety?
3. What is the impact of social life on a person’s marijuana usage?
4. What is the effect of urban vs. rural living on the risk of developing asthma?
5. How does socioeconomic status affect the prevalence of neuralgia in women?","Project Purpose(s)
Educational","Scientific Approaches
1. How does socioeconomic status influence the risk of stroke?
- Annual income
- Family health history of stroke
2. How does marijuana use affect anxiety?
- Survey: Marijuana use
- Anxiety diagnosis/survey response
3. What is the impact of social life on a person’s marijuana usage?
- Survey: How often do you feel left out?
- Survey: How often do you feel alone
- Survey: Marijuana use
4. What is the effect of income and air pollution (proxy: urban vs. rural location) on the risk of developing asthma?
- Rural vs. urban proportion of first three zip codes (from external census data)
- Survey: annual income
- Survey: Asthma
5. How does socioeconomic status affect the prevalence of neuralgia in women?
- Annual income
- Neuralgia diagnosis","Anticipated Findings
Expected outcomes
1. How does socioeconomic status influence the risk of stroke?
- Lower income associated with higher risk of stroke
2. How does marijuana use affect anxiety?
- Marijuana use associated with anxiety
3. What is the impact of social life on a person’s marijuana usage?
- More lonely or left out associated with more marijuana use
4. What is the effect of income and air pollution (proxy: urban vs. rural location) on the risk of developing asthma?
- Higher income associated with less asthma in urban settings; no effect in rural settings
5. How does socioeconomic status affect the prevalence of neuralgia in women?
- Higher income associated with less neuralgia","Demographic Categories of Interest
Geography
Income Level","Data Set Used
Controlled Tier","Research Team
Owner:
Eric Sodja
- Graduate Trainee, University of Utah",LRS/EIHS 1. How does socioeconomic status influence the risk of stroke? 2. How does marijuana use affect anxiety? 3. What is the impact of social life on a person’s marijuana usage? 4. What is the effect of urban vs. rural living…,"1. [""Owner"", ""Graduate Trainee""]
2. [""Eric Sodja""]
3. [""University of Utah""]","['Owner', 'Graduate Trainee']",['Eric Sodja'],['University of Utah'],1,1,1,FALSE,"['Stroke risk', 'Socioeconomic status', 'Marijuana use', 'Anxiety', 'Social life', 'Urban living', 'Rural living', 'Air pollution', 'Asthma development', 'Neuralgia prevalence']","['C0038454', 'C0598034', 'C1129679', 'C0003467', 'C0037516', 'C0242194', 'C0242193', 'C0001948', 'C0004096', 'C0027796']"
Obstructive lung diseases in All of Us,"We will examine the degree of overlap (co-occurrence) of different obstructive lung diagnoses (asthma, COPD, bronchiectasis), and we will examine whether the overlap of these conditions differs by sex/gender, ethnicity, smoking history, geographic region, BMI, and socioeconomic status. We will…","Scientific Questions Being Studied
We will examine the degree of overlap (co-occurrence) of different obstructive lung diagnoses (asthma, COPD, bronchiectasis), and we will examine whether the overlap of these conditions differs by sex/gender, ethnicity, smoking history, geographic region, BMI, and socioeconomic status. We will examine clinical and laboratory data that support the diagnosis of these conditions, assessing the degree to which diagnostic overlap appears to clinical and laboratory features as opposed to diagnostic mislabeling. We will also examine the co-occurrence of these conditions with other common cardio-pulmonary conditions including pulmonary hypertension, sleep apnea, and heart failure. Additionally, we will examine how treatment varies among patients with one obstructive lung disease compared to those with overlapping diagnoses.","Project Purpose(s)
Disease Focused Research (Obstructive lung diseases)","Scientific Approaches
Our analyses will require variables from all EHR Domains datasets: conditions, drug exposures, labs and measurements, and procedures. We will also require variables from the Survey Questions domains of The Basics, Lifestyle and Overall Health to examine demographics, smoking history, family history and ethnicity in relation to these conditions. We will use standard statistical approaches within R to examine descriptive statistics, correlations and between-group differences.","Anticipated Findings
We hypothesize that we will find significant overlap of these above stated conditions, but that the prevalence of overlap will vary amongst population subgroups. We further hypothesize that some degree of overlap will be due to diagnostic mislabeling not supported by diagnostic testing in the EHR data. The presence of higher overlap of these conditions within certain groups may provide clues into the pathophysiology and prevention of these conditions. We also hypothesize that the treatment for these three obstructive lung diseases and the various overlap combinations will differ among patient subgroups defined by demographic factors.","Demographic Categories of Interest
Race / Ethnicity
Age
Geography
Access to Care
Education Level
Income Level","Data Set Used
Registered Tier","Research Team
Owner:
George O'Connor
- Late Career Tenured Researcher, Boston University
Collaborators:
Ruchika Sangani - Research Fellow, Boston University
Mahima Jain - Project Personnel, Boston University
Hanfei Xu - Graduate Trainee, Boston University","Obstructive lung diseases in All of Us We will examine the degree of overlap (co-occurrence) of different obstructive lung diagnoses (asthma, COPD, bronchiectasis), and we will examine whether the overlap of these conditions differs by sex/gender, ethnicity, smoking history, geographic region, BMI, and socioeconomic status. We will…","1. [""Owner"", ""Collaborators"", ""Collaborators"", ""Collaborators""]
2. [""George O'Connor"", ""Ruchika Sangani"", ""Mahima Jain"", ""Hanfei Xu""]
3. [""Boston University"", ""Boston University"", ""Boston University"", ""Boston University""]","['Owner', 'Collaborators', 'Collaborators', 'Collaborators']","[""George O'Connor"", 'Ruchika Sangani', 'Mahima Jain', 'Hanfei Xu']","['Boston University', 'Boston University', 'Boston University', 'Boston University']",4,4,1,FALSE,"['obstructive lung diagnoses', 'asthma', 'COPD', 'bronchiectasis', 'co-occurrence', 'sex/gender', 'ethnicity', 'smoking history', 'geographic region', 'socioeconomic status']","['C0024117', 'C0004096', 'C0024115', 'C0006267', 'C1708880', 'C0525045', 'C1705552', 'C1522394', 'C0017661', 'C0441996']"
PRS AoU,We would like to develop a multi-trait multi-ancestry risk prediction model for respiratory diseases such as COPD and asthma.,"Scientific Questions Being Studied
We would like to develop a multi-trait multi-ancestry risk prediction model for respiratory diseases such as COPD and asthma.","Project Purpose(s)
Disease Focused Research (Respiratory diseases)
Methods Development
Control Set
Ancestry","Scientific Approaches
Using publically available summary statistics, we will develop and validate polygenic risk scores that combine information from multiple related traits and multiple ancestry populations.","Anticipated Findings
Joint analysis of large-scale multi-ancestry studies of respiratory diseases will accelerate novel genetic discoveries and improve precision medicine.","Demographic Categories of Interest
Race / Ethnicity","Data Set Used
Controlled Tier","Research Team
Owner:
Yixuan He
- Research Fellow, Broad Institute
Collaborators:
Ying Wang - Research Fellow, Mass General Brigham",PRS AoU We would like to develop a multi-trait multi-ancestry risk prediction model for respiratory diseases such as COPD and asthma.,"1. [""Owner"", ""Research Fellow"", ""Research Fellow""]
2. [""Yixuan He"", ""Ying Wang""]
3. [""Broad Institute"", ""Mass General Brigham""]","['Owner', 'Research Fellow', 'Research Fellow']","['Yixuan He', 'Ying Wang']","['Broad Institute', 'Mass General Brigham']",2,2,2,TRUE,"['Multi-trait multi-ancestry risk prediction model', 'Respiratory diseases', 'COPD', 'Asthma', 'Polygenic risk scores', 'Publically available summary statistics', 'Ancestry populations', 'Genetic discoveries', 'Precision medicine', 'Large-scale multi-ancestry studies']","['C1701978', 'C0035229', 'C0024117', 'C0004096', 'C3271703', 'C4555419', 'C1706628', 'C1706442', 'C3562831', 'C2826725']"
