title,main_goal_and_aims,Questions,Purpose,Approaches,Findings,Categories,DataTier,Team,combined_text,Extracted Team Info
Taubman: Maladherence to Hypertension Treatment Plans + Mental Health Impact,"We wish to investigate how different characteristics affect patient adherence to hypertension treatment plans. In addition, we will look at how mental health affects adherence and how adherence affects mental health. Our research will focus on historically underrepresented groups.","Scientific Questions Being Studied
We wish to investigate how different characteristics affect patient adherence to hypertension treatment plans. In addition, we will look at how mental health affects adherence and how adherence affects mental health. Our research will focus on historically underrepresented groups.","Project Purpose(s)
Disease Focused Research (hypertension)
Population Health","Scientific Approaches
The cohort we will be utilizing will be participants 18 and older, adults, from a variety of backgrounds. Within our cohort we will have two subgroups. One group containing individuals with hypertension and one without hypertension.
We will most likely be using the following surveys from the Research All of Us Workbench: The Basics; Lifestyle; Overall Health; Social Determinants of Healt; and Emotional Health and Wellbeing.
Using RStudio, we will first code to stratify by gender, race, ethnicity, and economic status. We will then use code to analyze anxiety disorders and depressive episodes. Then, patient provider relationship, chronic stress, and factors of discrimination. Second, we are going to code for characteristics and connections regarding adherence. This may include different types of treatment plans, mental health, and efficacy of treatment plans.","Anticipated Findings
Using our findings from an 18 source literature review, we anticipate:
Higher access to health care, rates of health literacy, and income will increase hypertension treatment efficacy and decrease mental health affects.
These findings will contribute to the body of scientific knowledge in the field significantly since no research of this size has been conducted previously, nor has any research touched on so many different areas of interest.","Demographic Categories of Interest
Race / Ethnicity
Age
Sex at Birth
Gender Identity
Sexual Orientation
Geography
Disability Status
Access to Care
Education Level
Income Level","Data Set Used
Controlled Tier","Research Team
Owner:
Sophie Taubman
- Research Assistant, The Community Health Center
Collaborators:
Katrina Yamazaki - Senior Researcher, The Community Health Center
Petra Leite - Project Personnel, The Community Health Center","Taubman: Maladherence to Hypertension Treatment Plans + Mental Health Impact We wish to investigate how different characteristics affect patient adherence to hypertension treatment plans. In addition, we will look at how mental health affects adherence and how adherence affects mental health. Our research will focus on historically underrepresented groups.","1. [""Owner"", ""Research Assistant"", ""Senior Researcher"", ""Project Personnel""]
2. [""Sophie Taubman"", ""Katrina Yamazaki"", ""Petra Leite""]
3. [""The Community Health Center"", ""The Community Health Center"", ""The Community Health Center""]"
Duplicate of BRESI Bioinformatics and Social Determinants of Psychosis,"Globally, Black and U.S. Latina/o/x populations suffer disproportionately from psychiatric disorders, such as psychotic disorders, compared to White Americans regardless of socioeconomic status. This is largely due to systemic racism, which has been deemed a fundamental cause of health care…","Scientific Questions Being Studied
Globally, Black and U.S. Latina/o/x populations suffer disproportionately from  psychiatric disorders, such as psychotic disorders, compared to White Americans regardless of socioeconomic status. This is largely due to systemic racism, which has been deemed a fundamental cause of health care inequities. Yet few empirical studies have directly investigated the social determinants of psychiatric disorders, while also examining the impact of these determinants on the human genome (epigenetics). Theoretical emphasis has highlighted the importance of studying the confluence of biological and social factors on psychosis. The aim of this study is to initiate an interdisciplinary microbiome study integrating bioinformatics and social determinants of mental health using data from the recent NIH-sponsored All of Us Research Program, while building a sustain able mentored student research project","Project Purpose(s)
Population Health
Social / Behavioral
Educational
Ancestry","Scientific Approaches
The main research objective is to identify the microbiome signature associated with psychosis and determine if psychosis-associated microbiota vary by social determinants of health such as neighborhood quality, deprivation, and cohesion. We will use the All of Us database to elucidate exposure to racial discrimination in Black and Latinx individuals diagnosed with psychotic disorders and those not diagnosed with any psychiatric disorders, then use the AnVIL platform to compare microbiotic genetic profiles in these populations.  Interaction terms in the regression models between genomic data and social determinant and discrimination measure scores will be created to determine the degree to which joint combinations predict probability of psychotic disorders. All models will covary key demographic factors such as sex, gender, and age.","Anticipated Findings
The research findings will contribute to a body of knowledge that can improve disease prevention strategies and health care treatment in two communities (Black and Latina/o/x) that have been historically medically underserved. It will represent the first time, to our knowledge, that this type of innovative interdisciplinary research connecting genomic research with social determinants of health focused specifically on Black and Latinx health has occurred. The research collaboration between faculty and students at CCNY and Guttman Community College also marks a novel interdisciplinary research model, with both four-year and two-year undergraduate students contributing equally to a research project that has the potential to shape how the scientific community understands mental health disorders.","Demographic Categories of Interest
Race / Ethnicity
Geography","Data Set Used
Controlled Tier","Research Team
Owner:
Karla Fuller
- Mid-career Tenured Researcher, City University of New York (CUNY)
Deidre Anglin
- Mid-career Tenured Researcher, City University of New York (CUNY)
Alexandria Selloni
- Graduate Trainee, City University of New York (CUNY)
Collaborators:
Michelle Hernandez - Undergraduate Student, City University of New York (CUNY)
Jennifer Clotaire - Project Personnel, City University of New York (CUNY)
Helen Hu - Graduate Trainee, City University of New York (CUNY)
Griffin Thayer - Graduate Trainee, City University of New York (CUNY)","Duplicate of BRESI Bioinformatics and Social Determinants of Psychosis Globally, Black and U.S. Latina/o/x populations suffer disproportionately from psychiatric disorders, such as psychotic disorders, compared to White Americans regardless of socioeconomic status. This is largely due to systemic racism, which has been deemed a fundamental cause of health care…","Names:
1. [""Karla Fuller"", ""Deidre Anglin"", ""Alexandria Selloni"", ""Michelle Hernandez"", ""Jennifer Clotaire"", ""Helen Hu"", ""Griffin Thayer""]

Roles:
2. [""Mid-career Tenured Researcher"", ""Mid-career Tenured Researcher"", ""Graduate Trainee"", ""Undergraduate Student"", ""Project Personnel"", ""Graduate Trainee"", ""Graduate Trainee""]

Institutions:
3. [""City University of New York (CUNY)"", ""City University of New York (CUNY)"", ""City University of New York (CUNY)"", ""City University of New York (CUNY)"", ""City University of New York (CUNY)"", ""City University of New York (CUNY)"", ""City University of New York (CUNY)""]"
Discrimination & Mental health among black men and women with HIV,How does discrimination affect mental health among black men and women (cis and transgendered) living with HIV? Does having a strong religious feeling or belief modify the relationship between perceived discrimination and mental health? How does this differ across sub-groups…,"Scientific Questions Being Studied
How does discrimination affect mental health among black men and women (cis and transgendered) living with HIV? Does having a strong religious feeling or belief modify the relationship between perceived discrimination and mental health? How does this differ across sub-groups (e.g., gender, sexual orientation, and age)","Project Purpose(s)
Population Health
Social / Behavioral","Scientific Approaches
Retrospective study","Anticipated Findings
Discrimination affect mental health among black men and women (cis and transgendered) living with HIV","Demographic Categories of Interest
Race / Ethnicity","Data Set Used
Registered Tier","Research Team
Owner:
Yijiong Yang
- Research Fellow, Florida State University
Brittany Lane
- Research Fellow, Florida State University",Discrimination & Mental health among black men and women with HIV How does discrimination affect mental health among black men and women (cis and transgendered) living with HIV? Does having a strong religious feeling or belief modify the relationship between perceived discrimination and mental health? How does this differ across sub-groups…,"1. [""Owner"", ""Research Fellow"", ""Research Fellow""]
2. [""Yijiong Yang"", ""Brittany Lane""]
3. [""Florida State University"", ""Florida State University""]"
Smoking and Mental Health Exploration,"Have explored relationships between stress and smoking in a number of studies. Would like to look at relationships between smokers and non-smokers using diagnostic and survey data, particularly in the area of mental health. Also interested in exploring Covid survey…","Scientific Questions Being Studied
Have explored relationships between stress and smoking in a number of studies. Would like to look at relationships between smokers and non-smokers using diagnostic and survey data, particularly in the area of mental health. Also interested in exploring Covid survey data.","Project Purpose(s)
Other Purpose (To explore differences in demographics including mental health diagnoses and indicators in smokers versus non-smokers.)","Scientific Approaches
Initial exploration with basic comparisons (t-test, Chi-square, etc.) using both self-reported smoking and electronic medical record reporting of smoking status to look at differences in mental health diagnoses and questionnaire responses assessing mental health self-reports. Will use r script to run these comparisons. Will adjust (covary) for basic demographics (age, gender). This is intended for hypothesis generation.","Anticipated Findings
At this point this is strictly exploratory and for the purpose of research question/hypothesis generation.","Demographic Categories of Interest
This study will not center on underrepresented populations.","Data Set Used
Registered Tier","Research Team
Owner:
PAUL THURAS
- Project Personnel, University of Minnesota
Collaborators:
David Sosnowski - Project Personnel, Johns Hopkins University","Smoking and Mental Health Exploration Have explored relationships between stress and smoking in a number of studies. Would like to look at relationships between smokers and non-smokers using diagnostic and survey data, particularly in the area of mental health. Also interested in exploring Covid survey…","1. [""Owner"", ""Project Personnel"", ""Project Personnel""]
2. [""PAUL THURAS"", ""David Sosnowski""]
3. [""University of Minnesota"", ""Johns Hopkins University""]"
Asian American CC and HCU v6,How are acts of cultural competency by healthcare providers associated with healthcare utilization among Asian Americans? Are Asian Americans more likely to utilize healthcare services when their provider exhibits cultural competency and/or is culturally similar to the patient? Is this…,"Scientific Questions Being Studied
How are acts of cultural competency by healthcare providers associated with healthcare utilization among Asian Americans? Are Asian Americans more likely to utilize healthcare services when their provider exhibits cultural competency and/or is culturally similar to the patient? Is this relationship different when considering only Asian Americans with mental health disorders (i.e., depression or anxiety)?","Project Purpose(s)
Social / Behavioral","Scientific Approaches
We will use self-reported data from Basics, Healthcare Access and Utilization, and Personal and Family Health History surveys to calculate descriptive statistics about Asian Americans in the All of Us study. We will also use this data to run multivariate logistic and ordinal regression analyses to examine associations between outcomes of healthcare utilization and exposures of interest related to cultural competency and similarity.","Anticipated Findings
We anticipate finding that Asian Americans who report acts of cultural competency and similarity by providers are more likely to have visited a healthcare provider. Moreover, we expect this association to be stronger among Asian Americans self-reporting a previous diagnosis of a mental health disorder.","Demographic Categories of Interest
Race / Ethnicity","Data Set Used
Controlled Tier","Research Team
Owner:
Zachary Veitch
- Project Personnel, Asian Health Coalition",Asian American CC and HCU v6 How are acts of cultural competency by healthcare providers associated with healthcare utilization among Asian Americans? Are Asian Americans more likely to utilize healthcare services when their provider exhibits cultural competency and/or is culturally similar to the patient? Is this…,"1. [""Owner"", ""Project Personnel""]
2. [""Zachary Veitch""]
3. [""Asian Health Coalition""]"
ResearchTrial,"Exploring for formalization - trying to study the effect of different factors on mental health, most particularly as it can be related to mental health back on social networks.","Scientific Questions Being Studied
Exploring for formalization - trying to study the effect of different factors on mental health, most particularly as it can be related to mental health back on social networks.","Project Purpose(s)
Social / Behavioral","Scientific Approaches
We plan to be using causal analysis so matching and inference from there. Additionally, we plan to use intervention affect analysis.","Anticipated Findings
Anticipated findings - best ways to intervene with mental health crisis, cluster by category","Demographic Categories of Interest
This study will not center on underrepresented populations.","Data Set Used
Registered Tier","Research Team
Owner:
Logan Vaz
- Undergraduate Student, University of Texas at Austin","ResearchTrial Exploring for formalization - trying to study the effect of different factors on mental health, most particularly as it can be related to mental health back on social networks.","1. [""Owner"", ""Undergraduate Student""]
2. [""Logan Vaz""]
3. [""University of Texas at Austin""]"
Perinatal Mental Health Project,What is the prevalence of mental health disorders among pregnant people in the All of Us Research Program? What health disparities exist in the intersection of pregnancy and mental health in the All of Us Research Program?,"Scientific Questions Being Studied
What is the prevalence of mental health disorders among pregnant people in the All of Us Research Program?
What health disparities exist in the intersection of pregnancy and mental health in the All of Us Research Program?","Project Purpose(s)
Population Health
Social / Behavioral
Educational","Scientific Approaches
We will determine the cohort and give descriptives of the population and refine research questions based on the available data from the appropriate survey and EHR categories.","Anticipated Findings
We will give a more in depth overview of anticipated findings after our initial query.","Demographic Categories of Interest
Race / Ethnicity
Sex at Birth
Gender Identity
Sexual Orientation
Geography
Disability Status
Access to Care
Income Level","Data Set Used
Controlled Tier","Research Team
Owner:
Lilanta Bradley
- Early Career Tenure-track Researcher, University of Alabama
Collaborators:
Hui Wang - Project Personnel, University of Alabama
Antara Das - Graduate Trainee, University of Alabama",Perinatal Mental Health Project What is the prevalence of mental health disorders among pregnant people in the All of Us Research Program? What health disparities exist in the intersection of pregnancy and mental health in the All of Us Research Program?,"1. [""Owner"", ""Collaborators""]
2. [""Lilanta Bradley"", ""Hui Wang"", ""Antara Das""]
3. [""University of Alabama"", ""University of Alabama"", ""University of Alabama""]"
Chronic Pancreatitis,Specific questions include Pancreatectomy effects on patient health and pain levels and mental health.,"Scientific Questions Being Studied
Specific questions include Pancreatectomy effects on patient health and pain levels and mental health.","Project Purpose(s)
Disease Focused Research (Chronic Pancreatitis )
Educational","Scientific Approaches
We plan to use All of Us data to research this topic and analyze with graphs, using reasoning and scientific studies in the Genetics class through ASU. Alongside research from ASU Library resources.","Anticipated Findings
Anticipated findings include opioid use, mental health status, and pancreatectomy procedure results.","Demographic Categories of Interest
This study will not center on underrepresented populations.","Data Set Used
Controlled Tier","Research Team
Owner:
Kelsie Turpin
- Undergraduate Student, Arizona State University
Collaborators:
Sierra Glassburner - Undergraduate Student, Arizona State University
carolen younan - Undergraduate Student, Arizona State University
Brandon Rankins - Undergraduate Student, Arizona State University",Chronic Pancreatitis Specific questions include Pancreatectomy effects on patient health and pain levels and mental health.,"1. [""Owner"", ""Undergraduate Student"", ""Undergraduate Student"", ""Undergraduate Student"", ""Undergraduate Student""]
2. [""Kelsie Turpin"", ""Sierra Glassburner"", ""carolen younan"", ""Brandon Rankins""]
3. [""Arizona State University"", ""Arizona State University"", ""Arizona State University"", ""Arizona State University""]"
Asthma and Social Stressors 2,"I hope to explore associations between asthma and exposure to environmental and psychosocial stressors, such as community disorder, discrimination, and perceived stress. An understanding of this can aid in health promotion for marginalized populations who are often exposed to these…","Scientific Questions Being Studied
I hope to explore associations between asthma and exposure to environmental and psychosocial stressors, such as community disorder, discrimination, and perceived stress. An understanding of this can aid in health promotion for marginalized populations who are often exposed to these stressors, and assist in assessing appropriate interventions (mental health-focused or otherwise).","Project Purpose(s)
Disease Focused Research (asthma)
Population Health
Social / Behavioral","Scientific Approaches
We hope to analyze data from the Social Determinants of Health survey as they relate to the condition of interest (asthma; in the Conditions domain), while potentially controlling for certain demographic variables.","Anticipated Findings
We hope to assess whether there is an association between these adverse social/environmental exposures and experiences with asthma. This will support an understanding of how environmental factors may influence the manifestation of this disease.","Demographic Categories of Interest
This study will not center on underrepresented populations.","Data Set Used
Registered Tier","Research Team
Owner:
Prudny Bonnaire Fils
- Undergraduate Student, University of Florida
Collaborators:
Ruina He - Project Personnel, University of Florida","Asthma and Social Stressors 2 I hope to explore associations between asthma and exposure to environmental and psychosocial stressors, such as community disorder, discrimination, and perceived stress. An understanding of this can aid in health promotion for marginalized populations who are often exposed to these…","Names: [""Prudny Bonnaire Fils"", ""Ruina He""]
Roles: [""Owner"", ""Undergraduate Student"", ""Project Personnel""]
Institutions: [""University of Florida"", ""University of Florida""]"
Sonya Trial,"Exploring the interface, for the All of Us training program. Examining patients with mental health issues and covid susceptibility.","Scientific Questions Being Studied
Exploring the interface, for the All of Us training program.  Examining patients with mental health issues and covid susceptibility.","Project Purpose(s)
Educational","Scientific Approaches
Patients with schizophrenia or bipolar, and covid vulnerability, as well as its dependence on socioeconomic status.  Are patients of average or high SES not as vulnerable to COVID being severe?","Anticipated Findings
Patients with schizophrenia and bipolar have been classified as at risk for severe covid. I would like to know is this is to social and economic reasons,or biomedical aspects of the disease, or a combined interplay.","Demographic Categories of Interest
Disability Status","Data Set Used
Registered Tier","Research Team
Owner:
Sonya Dave
- Research Associate, Washington University in St. Louis","Sonya Trial Exploring the interface, for the All of Us training program. Examining patients with mental health issues and covid susceptibility.","1. [""Owner"",""Research Associate""]
2. [""Sonya Dave""]
3. [""Washington University in St. Louis""]"
BIOL 390 - Research Project,How does housing instability and social determinants affect an individuals mental health? This question is extremely important because of its relevance. Homelessness has been deemed a crisis in the United States and many of these individuals now suffer from mental…,"Scientific Questions Being Studied
How does housing instability and social determinants affect an individuals mental health? This question is extremely important because of its relevance. Homelessness has been deemed a crisis in the United States and many of these individuals now suffer from mental illnesses due to the trauma and struggle that has come from housing instability and being without a house.","Project Purpose(s)
Disease Focused Research (disease of mental health)
Population Health
Social / Behavioral
Educational
Drug Development","Scientific Approaches
I plan to collect and use standardized mental health assessment tools, collect demographic data, including housing status and income levels, and possibly conduct in-depth interviews to gather qualitative insights. I also plan to gather multiple pieces of literature and datasets focused on social determinants of health to investigate what role it plays in preventative measures.","Anticipated Findings
I anticipate to find how large a role housing instability plays in mental illnesses, specifically trauma-induced illnesses. Also, I plan to suggest solutions for the medical school curriculum that places an increased emphasis on social determinants of health and unbiased treatment practices. This will in turn increase vulnerability in patient-physician conversations and offer a chance to catch housing instability early on and create a plan of action in partnership with non-profits or government initiatives.","Demographic Categories of Interest
Race / Ethnicity
Age
Sex at Birth
Gender Identity
Sexual Orientation
Disability Status
Access to Care
Education Level
Income Level","Data Set Used
Registered Tier","Research Team
Owner:
Victoria Poythress
- Undergraduate Student, Howard University",BIOL 390 - Research Project How does housing instability and social determinants affect an individuals mental health? This question is extremely important because of its relevance. Homelessness has been deemed a crisis in the United States and many of these individuals now suffer from mental…,"1. [""Owner"", ""Undergraduate Student""]
2. [""Victoria Poythress""]
3. [""Howard University""]"
"Investigating obesity related health outcomes, social determinants","The present study seeks to answer scientific questions related to obesity, emphasizing prevalence, health outcomes, quality of life, and social determinants. Specifically, we aim to understand the distribution of obesity across demographics and regions, investigating variations based on gender, race,…","Scientific Questions Being Studied
The present study seeks to answer scientific questions related to obesity, emphasizing prevalence, health outcomes, quality of life, and social determinants. Specifically, we aim to understand the distribution of obesity across demographics and regions, investigating variations based on gender, race, income, and education. This is crucial for targeted public health interventions. Additionally, we explore associations between obesity and various health outcomes, contributing valuable insights for risk reduction strategies. Our focus extends to the impact of obesity on quality of life, including mental health, providing a holistic perspective. Furthermore, we investigate the influence of social determinants on obesity, addressing health disparities. These questions are paramount for informing personalized healthcare strategies and advancing public health understanding.","Project Purpose(s)
Population Health
Social / Behavioral","Scientific Approaches
Our approach combines statistical rigor with qualitative insight, facilitating a thorough exploration of the multifaceted dimensions of obesity within All of US the dataset. The present study employs exploratory analyses to investigate obesity prevalence in a cross-sectional manner. To explore associations with health outcomes, survival analysis will be conducted. Quality of life assessments and the examination of social determinants utilize a blend of quantitative and qualitative methods in the context of a cross-sectional study.","Anticipated Findings
Anticipated findings include insights into obesity prevalence, associations of health outcomes, quality of life impacts, associations with social determinants. Our study informs public health policies and interventions, enhancing the ability to tailor strategies for diverse populations. The comprehensive approach ensures a robust contribution to the evolving field of obesity research.","Demographic Categories of Interest
This study will not center on underrepresented populations.","Data Set Used
Controlled Tier","Research Team
Owner:
Zhiqi Yao
- Research Fellow, Johns Hopkins University","Investigating obesity related health outcomes, social determinants The present study seeks to answer scientific questions related to obesity, emphasizing prevalence, health outcomes, quality of life, and social determinants. Specifically, we aim to understand the distribution of obesity across demographics and regions, investigating variations based on gender, race,…","1. [""Owner"", ""Research Fellow""]
2. [""Zhiqi Yao""]
3. [""Johns Hopkins University""]"
Rare Diseases and Mental Health,Rare diseases are understudied and more research needs to occur to help this population. We will explore the rare disease data present in the All Of Us database with the hopes that this large database will yield data about this…,"Scientific Questions Being Studied
Rare diseases are understudied and more research needs to occur to help this population.  We will explore the rare disease data present in the All Of Us database with the hopes that this large database will yield data about this population.  A second goal is to then look at mental health in this population.","Project Purpose(s)
Disease Focused Research (Rare Diseases and Mental Health)","Scientific Approaches
We will do descriptive epidemiology to first describe the population.  We will build a cohort of participants identified as having a rare disease.  We will then further explore data on these individuals including mental health.","Anticipated Findings
We anticipate finding individuals with rare diseases in the database and looking at mental health outcomes.","Demographic Categories of Interest
Others","Data Set Used
Registered Tier","Research Team
Owner:
Aeisha Thomas
- Other, Crown College
Collaborators:
Drenen Magee - Undergraduate Student, Crown College",Rare Diseases and Mental Health Rare diseases are understudied and more research needs to occur to help this population. We will explore the rare disease data present in the All Of Us database with the hopes that this large database will yield data about this…,"1. [""Owner"", ""Collaborator""]
2. [""Aeisha Thomas"", ""Drenen Magee""]
3. [""Crown College"", ""Crown College""]"
PharmD Project - Mental Health and SDH,"Our primary objective in exploring mental health data is to comprehensively understand the multifaceted landscape of , identify key trends, and pinpoint potential factors influencing mental well-being. Through this exploration, we aim to formulate a precise scientific question that will…","Scientific Questions Being Studied
Our primary objective in exploring mental health data is to comprehensively understand the multifaceted landscape of , identify key trends, and pinpoint potential factors influencing mental well-being. Through this exploration, we aim to formulate a precise scientific question that will guide our research efforts and contribute to our collective understanding of mental health. Specifically, we hope to investigate how socioeconomic factors, access to mental health services, and exposure to adverse life events impact the prevalence and outcomes of mental health disorders, with a focus on vulnerable populations such as low-income communities and individuals with a history of trauma.","Project Purpose(s)
Disease Focused Research (Mental Health)
Population Health
Social / Behavioral
Drug Development
Ancestry","Scientific Approaches
In our study of mental health disorders, we will employ a multidisciplinary approach, utilizing diverse datasets, research methods, and analytical tools to address our scientific questions comprehensively. Our primary research objective is to investigate the interplay of genetic, environmental, and socio-economic factors in the development and management of mental health disorders.","Anticipated Findings
Overall, our anticipated findings are poised to enrich the field of mental health research by providing a more comprehensive understanding of the multifaceted nature of mental health disorders. These insights will inform evidence-based practices, shape policies, and drive future research endeavors, ultimately contributing to better mental health outcomes for individuals and communities.""","Demographic Categories of Interest
Race / Ethnicity","Data Set Used
Controlled Tier","Research Team
Owner:
Samalix Torres
- Graduate Trainee, University of Puerto Rico Medical Sciences
Kyle Melin
- Mid-career Tenured Researcher, University of Puerto Rico Medical Sciences
Jonathan Hernandez-Agosto
- Early Career Tenure-track Researcher, University of Puerto Rico Medical Sciences
Angelica Zayas-Ortiz
- Graduate Trainee, University of Puerto Rico Medical Sciences
Amanda Acosta
- Graduate Trainee, University of Puerto Rico Medical Sciences","PharmD Project - Mental Health and SDH Our primary objective in exploring mental health data is to comprehensively understand the multifaceted landscape of , identify key trends, and pinpoint potential factors influencing mental well-being. Through this exploration, we aim to formulate a precise scientific question that will…","1. [""Owner"", ""Graduate Trainee"", ""Mid-career Tenured Researcher"", ""Early Career Tenure-track Researcher"", ""Graduate Trainee"", ""Graduate Trainee""]
2. [""Samalix Torres"", ""Kyle Melin"", ""Jonathan Hernandez-Agosto"", ""Angelica Zayas-Ortiz"", ""Amanda Acosta""]
3. [""University of Puerto Rico Medical Sciences"", ""University of Puerto Rico Medical Sciences"", ""University of Puerto Rico Medical Sciences"", ""University of Puerto Rico Medical Sciences"", ""University of Puerto Rico Medical Sciences""]"
The prevalence of mental health issues facing the AANHPI communities,"I am exploring the data to formalize a more specific research question related to identifying prevalent mental health conditions facing Asian American, Native Hawaiians, and Pacific Islanders in the United States as well as the possible the social, economic, and…","Scientific Questions Being Studied
I am exploring the data to formalize a more specific research question related to identifying prevalent mental health conditions facing Asian American, Native Hawaiians, and Pacific Islanders in the United States as well as the possible the social, economic, and cultural reasons underlying any trends.","Project Purpose(s)
Population Health
Educational","Scientific Approaches
I plan to explore any self-reported mental health data as well as previous studies on AANHPI mental health conducted using the All of Us Workbench to formulate a more specific research question.","Anticipated Findings
My main goal is just to create a list of prevalent mental health conditions in my target population and to share this list with community-based organizations in California to aid in a region-wide media initiative to document the accounts of community members journeys with mental illness.","Demographic Categories of Interest
Race / Ethnicity
Age","Data Set Used
Registered Tier","Research Team
Owner:
Annalisa Okimoto
- Graduate Trainee, Boston University","The prevalence of mental health issues facing the AANHPI communities I am exploring the data to formalize a more specific research question related to identifying prevalent mental health conditions facing Asian American, Native Hawaiians, and Pacific Islanders in the United States as well as the possible the social, economic, and…","1. [""Owner"", ""Graduate Trainee""]
2. [""Annalisa Okimoto""]
3. [""Boston University""]"
minority stress and unhealthy alcohol use,"1. Determine the relationship between minority stress and levels of unhealthy alcohol use among gay, bisexual, and men who have sex with men (GBMSM). Reason: Understanding the link between minority stress (the stress GBMSM experience due to their marginalized status)…","Scientific Questions Being Studied
1. Determine the relationship between minority stress and levels of unhealthy alcohol use among gay, bisexual, and men who have sex with men (GBMSM).
Reason: Understanding the link between minority stress (the stress GBMSM experience due to their marginalized status) and alcohol use in critical for developing targeted interventions to reduce unhealthy alcohol use.)
2. Determine the relationship between levels of unhealthy alcohol use and psychiatric comorbidity among GBMSM.
Reason: This question address the broader mental health context, acknowledging that unhealthy alcohol use does not exist in isolation but often co-occurs with other mental health issues.
3. Determine the relationship between levels of unhealthy alcohol use and sexual health.
Reason: This question focuses on the intersection of alcohol use and sexual health, acknowledging the role that alcohol use can play in increasing risky sexual behavior and impacting HIV status.","Project Purpose(s)
Social / Behavioral","Scientific Approaches
Confirmatory factor analysis will be used to determine the indicators and weighting factors that modeled the latent construct of minority stress among GBMSM with the best fit. A series of linear regression analysis will be conducted to investigate the relationship 1) between minority stress scores and the levels of unhealthy alcohol use, 2) between levels of unhealthy alcohol use and psychiatric comorbidity, and 3) levels of unhealthy alcohol use and sexual health.","Anticipated Findings
-GBMSM with higher minority stress will consume high levels of unhealthy alcohol use.
-The association between minority stress and levels of unhealthy alcohol use will be moderated by social determinants of health including immigrant status, ethnicity, income, education, and housing.
-The association between minority stress and levels of unhealthy alcohol use will be  mediated by depression, anxiety, and traumatic experiences.
-GBMSM with high levels of unhealthy alcohol use will have increased rates of substance use disorders (illicit drug, prescription drugs used non-medically, and tobacco)
-GBMSM with high levels of unhealthy alcohol use will have increased rates of suicidality, including suicidal thoughts and attempts.
-GBMSM with high levels of unhealthy alcohol use will have higher rates of risky sexual behaviors including unprotected sex.
-GBMSM with high levels of unhealthy alcohol use will have higher HIV prevalence.","Demographic Categories of Interest
Race / Ethnicity
Gender Identity
Sexual Orientation
Education Level
Income Level","Data Set Used
Registered Tier","Research Team
Owner:
Wonkyung Chang
- Graduate Trainee, University of Rochester","minority stress and unhealthy alcohol use 1. Determine the relationship between minority stress and levels of unhealthy alcohol use among gay, bisexual, and men who have sex with men (GBMSM). Reason: Understanding the link between minority stress (the stress GBMSM experience due to their marginalized status)…","1. [""Owner"", ""Graduate Trainee""]
2. [""Wonkyung Chang""]
3. [""University of Rochester""]"
Anxiety Depression - Mitral Valve Replacement,1. Does depression and anxiety improve after mitral valve replacement? 2. Is there a difference between open vs percutaneous approach? 3. What percentage of patients continue to require mental health services such as therapists and psychologists? 4. Factors that changed…,"Scientific Questions Being Studied
1. Does depression and anxiety improve after mitral valve replacement?
2. Is there a difference between open vs percutaneous approach?
3. What percentage of patients continue to require mental health services such as therapists and psychologists?
4. Factors that changed after replacement / repair that may have led to such","Project Purpose(s)
Disease Focused Research (mitral valve disease)","Scientific Approaches
Compare prevalence of anxiety / depression before and after mitral valve replacement for open vs. percutaneous approaches and look at fibit data, substance use, etc.","Anticipated Findings
Anxiety and depression improve significantly for patients undergoing mitral valve replacement for both open vs. percutaneous approach. Reasons may be increased physical activity, improved blood pressure, lower substance use, and improved ADL.","Demographic Categories of Interest
This study will not center on underrepresented populations.","Data Set Used
Registered Tier","Research Team
Owner:
Daniel Won
- Graduate Trainee, Northwestern University",Anxiety Depression - Mitral Valve Replacement 1. Does depression and anxiety improve after mitral valve replacement? 2. Is there a difference between open vs percutaneous approach? 3. What percentage of patients continue to require mental health services such as therapists and psychologists? 4. Factors that changed…,"1. [""Owner"", ""Graduate Trainee""]
2. [""Daniel Won""]
3. [""Northwestern University""]"
